unit,best_name,best_iou
6,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),0.08708708708708708
8,(((((NOT pre:tok:at) AND hyp:tok:for) OR hyp:tok:tall) AND (NOT pre:tok:for)) OR hyp:tok:brother),0.1354723707664884
15,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR hyp:tok:seated) AND (NOT pre:tok:at)),0.1781609195402299
16,((((hyp:tok:outside OR hyp:tok:to) OR hyp:tok:for) OR hyp:tok:outdoors) OR hyp:tok:tall),0.1458980044345898
70,((((hyp:tok:nobody OR hyp:tok:swimming) OR hyp:tok:empty) OR hyp:tok:cats) OR hyp:tok:nothing),0.15760869565217392
71,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:nobody)) OR hyp:tok:cat) OR hyp:tok:driving),0.10997150997150996
89,(((((NOT hyp:tok:sitting) AND pre:tok:sitting) OR hyp:tok:tall) OR hyp:tok:son) AND (NOT pre:tok:pants)),0.10401891252955082
98,((((hyp:tok:baking OR hyp:tok:swimming) OR hyp:tok:kite) OR hyp:tok:piano) AND (NOT pre:tok:into)),0.15254237288135594
99,((((oth:overlap:overlap75 AND pre:tok:yellow) OR hyp:tok:holds) AND (NOT pre:tok:holding)) AND (NOT hyp:tok:is)),0.08461538461538462
128,((((hyp:tok:sitting OR hyp:tok:sleeping) OR hyp:tok:nobody) OR hyp:tok:alone) OR hyp:tok:eating),0.12511415525114156
133,(((((NOT pre:tok:with) AND hyp:tok:inside) OR hyp:tok:couch) AND (NOT hyp:tok:are)) OR hyp:tok:indoors),0.13978494623655913
134,((((hyp:tok:shirt OR hyp:tok:swimming) OR hyp:tok:couch) OR hyp:tok:empty) OR hyp:tok:cars),0.07389162561576355
157,((((hyp:tok:favorite OR hyp:tok:taking) OR pre:tok:brick) OR hyp:tok:shows) OR hyp:tok:inline),0.0718954248366013
173,((((NOT pre:tok:dog) AND (hyp:tok:dog OR hyp:tok:running)) OR pre:tok:dock) OR hyp:tok:runs),0.09494949494949495
203,((((NOT hyp:tok:man) AND (hyp:tok:garage OR hyp:tok:sleeping)) OR hyp:tok:asleep) OR hyp:tok:bone),0.11986301369863013
257,((((hyp:tok:hot OR hyp:tok:while) AND oth:overlap:overlap50) OR hyp:tok:brother) OR hyp:tok:what),0.09191176470588236
265,((((hyp:tok:outside OR hyp:tok:there) OR hyp:tok:outdoors) OR hyp:tok:person) AND (NOT hyp:tok:on)),0.1105121293800539
270,(((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR hyp:tok:eating) OR hyp:tok:swimming) OR hyp:tok:drives),0.10218140068886337
280,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),0.12580744386342663
283,((((NOT pre:tok:and) AND (hyp:tok:for OR hyp:tok:while)) OR hyp:tok:sad) OR hyp:tok:track),0.0845442536327609
284,((((NOT pre:tok:people) AND (hyp:tok:people OR hyp:tok:standing)) AND (NOT pre:tok:white)) OR hyp:tok:indoors),0.06741573033707865
302,((((hyp:tok:owner OR hyp:tok:their) OR hyp:tok:because) AND (NOT pre:tok:to)) AND (NOT pre:tok:at)),0.10679611650485436
362,((((hyp:tok:moving OR hyp:tok:outdoors) OR hyp:tok:not) OR hyp:tok:animal) OR hyp:tok:animals),0.12365591397849462
375,((((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:n't) OR hyp:tok:crossed) OR hyp:tok:no),0.10909090909090909
382,((((hyp:tok:for OR hyp:tok:tall) OR hyp:tok:friends) OR hyp:tok:sad) OR hyp:tok:about),0.1547911547911548
386,((((hyp:tok:chef OR pre:tok:desks) OR hyp:tok:appears) OR hyp:tok:families) OR hyp:tok:wave),0.09523809523809523
390,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:after) OR hyp:tok:eating) OR hyp:tok:new),0.1458230350963915
392,((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outside) OR hyp:tok:near) OR hyp:tok:outdoors),0.15827338129496402
410,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),0.08348457350272233
413,(((((NOT oth:overlap:overlap25) AND hyp:tok:playing) OR hyp:tok:driving) AND (NOT hyp:tok:in)) AND (NOT hyp:tok:two)),0.07407407407407407
416,((((hyp:tok:tv OR hyp:tok:unicycle) OR hyp:tok:couch) OR pre:tok:diving) AND (NOT pre:tok:while)),0.10833333333333334
457,((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:walking) AND (NOT hyp:tok:while)) AND (NOT hyp:tok:her)),0.12851897184822522
473,(((((NOT pre:tok:walking) AND oth:overlap:overlap25) OR hyp:tok:person) OR hyp:tok:for) AND (NOT pre:tok:up)),0.15503649635036496
480,(((((NOT pre:tok:outside) AND hyp:tok:outside) AND (NOT pre:tok:man)) AND (NOT pre:tok:while)) AND (NOT hyp:tok:dog)),0.22972972972972974
502,((((hyp:tok:store OR pre:tok:swimsuit) OR hyp:tok:rain) AND (NOT pre:tok:man)) OR pre:tok:guitars),0.0880503144654088
512,((((NOT oth:overlap:overlap25) AND (hyp:tok:in OR pre:tok:at)) OR hyp:tok:driving) OR hyp:tok:eating),0.08267090620031796
523,(((((NOT hyp:tok:man) AND pre:tok:man) OR hyp:tok:naked) AND (NOT oth:overlap:overlap50)) OR hyp:tok:cooking),0.08202443280977312
533,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:is)) AND (NOT hyp:tok:outside)) OR hyp:tok:eating),0.12555610479485912
536,((((hyp:tok:after OR hyp:tok:for) OR hyp:tok:son) OR hyp:tok:friends) AND (NOT pre:tok:for)),0.1178082191780822
537,((((hyp:tok:asleep OR hyp:tok:sleeping) OR hyp:tok:outer) AND (NOT pre:tok:two)) AND (NOT pre:tok:at)),0.21164021164021163
549,((((NOT pre:tok:park) AND (hyp:tok:bar OR hyp:tok:park)) OR hyp:tok:tattoo) OR hyp:tok:carnival),0.09954751131221719
557,((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:outside) OR hyp:tok:outdoors) OR hyp:tok:someone),0.13516330785267547
577,((((hyp:tok:cream OR hyp:tok:party) OR pre:tok:surfing) OR hyp:tok:clown) AND (NOT pre:tok:with)),0.08695652173913043
593,((((hyp:tok:running AND pre:tok:at) OR hyp:tok:forest) OR hyp:tok:outer) OR hyp:tok:underneath),0.10989010989010989
606,((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:sits) AND (NOT hyp:tok:is)) OR pre:tok:smiling),0.08775137111517367
